08-21 11:41:16.918 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:16.917, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:41:21.870 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:21.870, Living Map - WiFi A (5GHz), 3497f601b7ac, -54
08-21 11:41:26.836 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:26.835, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:41:31.864 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:31.863, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:41:36.790 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:36.789, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:41:41.695 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:41.694, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
    WIFI OUTPUT: 2018-08-21T11:41:46.593, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:41:51.468 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:51.467, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:41:56.378 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:41:56.377, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:42:01.294 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:01.293, Living Map - WiFi A (5GHz), 3497f601b7ac, -55
08-21 11:42:06.150 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:06.149, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:42:11.119 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:11.118, Living Map - WiFi A (5GHz), 3497f601b7ac, -54
08-21 11:42:16.035 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:16.033, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
    WIFI OUTPUT: 2018-08-21T11:42:20.973, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:42:25.874 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:25.873, Living Map - WiFi A (5GHz), 3497f601b7ac, -54
08-21 11:42:30.779 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:30.778, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:42:35.685 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:35.684, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:42:40.561 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:40.560, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:42:45.470 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:45.469, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:42:50.442 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:50.441, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:42:55.360 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:42:55.359, Living Map - WiFi A (5GHz), 3497f601b7ac, -55
08-21 11:43:00.256 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:00.255, Living Map - WiFi A (5GHz), 3497f601b7ac, -53
08-21 11:43:05.230 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:05.230, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:43:10.234 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:10.234, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:43:15.176 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:15.176, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:43:20.078 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:20.077, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:43:24.951 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:24.951, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:43:29.871 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:29.870, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:43:34.725 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:34.724, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:43:39.584 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:39.583, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:43:44.518 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:44.517, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:43:49.428 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:49.427, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:43:54.291 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:54.290, Living Map - WiFi A (5GHz), 3497f601b7ac, -52
08-21 11:43:59.166 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:43:59.165, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:44:04.058 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:44:04.057, Living Map - WiFi A (5GHz), 3497f601b7ac, -51
08-21 11:44:08.946 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:44:08.945, Living Map - WiFi A (5GHz), 3497f601b7ac, -50
08-21 11:44:13.836 8605-8605/com.livingmap.livingmapsdk D/WifiLocationProvider: WIFI OUTPUT: 2018-08-21T11:44:13.836, Living Map - WiFi A (5GHz), 3497f601b7ac, -53
